,State,Post_Full_Name,Latitude,Longitude
169,Netherlands,U.S. Embassy The Hague,52.099287,4.345574
170,Netherlands,U.S. Consulate General Amsterdam,52.356181,4.882063
171,New Zealand,United States Embassy Wellington,-41.288889,174.777222
172,Nicaragua,U.S. Embassy Managua,12.1475,-086.2734
173,Niger,U.S. Embassy Niamey,13.526350006074725,2.070800850759912
174,North Macedonia,U.S. Embassy in Skopje,41.99919648679228,21.354850713788924
175,Nigeria,U.S. Embassy Abuja,09.0580,007.4891
176,Oman,U.S. Embassy in Muscat,23.588889,58.408333
177,Oman,U.S. Embassy in Islamabad,33.72392364240929,73.1158063143739
178,Oman,U.S. Consulate General Karachi,24.84119765214914,67.00740971413214
179,Oman,U.S. Consulate General Lahore,31.5601682523353,74.33401361430799
180,Oman,U.S. Consulate General Peshawar,34.00574362762821,71.53478281438282
181,Pakistan,U.S. Embassy in Islamabad,33.72392364240929,73.1158063143739
182,Pakistan,U.S. Consulate General Karachi,24.84119765214914,67.00740971413214
183,Pakistan,U.S. Consulate General Lahore,31.5601682523353,74.33401361430799
184,Pakistan,U.S. Consulate General Peshawar,34.00574362762821,71.53478281438282
185,Norway,U.S. Embassy in Oslo,59.9138,010.7387
186,Palau,U.S. Embassy in Koror,7.359623294689216,134.54246866702255
187,Panama,U.S. Embassy in Panama City,08.9943,-079.5188
188,Papua New Guinea,U.S. Embassy in Port Moresby,-09.4656,147.1969
189,Paraguay,U.S. Embassy in Asuncion,-25.28548103339301,-57.62816948465239
190,Peru,U.S. Embassy in Lima,-12.0931,-077.0465
191,Philippines,U.S. Embassy in Manila,14.5790,120.9726
192,Poland,U.S. Embassy Warsaw,52.224495,21.023320999999996
193,Poland,U.S. Consulate General in Krakow,50.060064399999995,19.939102899999998
194,Poland,Consular Agency in Poznan,52.407795452290735,16.927380015922793
195,Portugal,U.S. Embassy Lisbon,38.74412016357007,-9.16557018495388
196,Portugal,U.S. Consulate Ponta Delgada Azores,37.74504219110972,-25.71346686956659
197,Qatar,U.S. Embassy Doha,25.2948,051.5082
